Пост мониторинга,Период,NO2,O3,H2S,CO,SO2,"Температура, °С","Давление, мм рт. ст.","Влажность, %","Скорость ветра, м/с","Направление ветра, °"
Площадка 21 414,2025-05-19 08:40:00,40.502,26.336,0.325,329.334,0.554,20.38,748.6665682696,67.29,0.67,148.05
Площадка 21 414,2025-05-19 09:00:00,42.561,30.42,0.401,324.554,0.434,22.205,748.471552232,61.87,0.984,147.45
Площадка 21 414,2025-05-19 09:20:00,46.588,33.379,0.352,321.683,0.552,22.92,748.2915374281,59.025,1.028,167.55
Площадка 21 414,2025-05-19 09:40:00,50.686,36.825,0.344,321.665,0.517,22.78,748.1115226242,57.37,1.027,166.85
Площадка 21 414,2025-05-19 10:00:00,54.0,35.609,0.373,329.825,0.538,22.365,747.9090059697,56.99,0.748,180.4
Площадка 21 414,2025-05-19 10:20:00,52.1,36.284,0.244,325.742,0.452,22.665,747.721490549,55.17,0.65,210.3
Площадка 21 414,2025-05-19 10:40:00,51.529,35.613,0.346,320.489,0.493,23.31,747.5189738946,53.255,0.732,151.95
Площадка 21 414,2025-05-19 11:00:00,49.918,34.159,0.242,322.919,0.539,23.74,747.3764621748,52.355,0.694,180.6
Площадка 21 414,2025-05-19 11:20:00,50.984,36.165,0.389,322.189,0.536,23.81,747.1439430531,49.8,0.694,211.4
Площадка 21 414,2025-05-19 11:40:00,51.975,35.169,0.452,322.417,0.575,23.175,747.061436268,50.815,0.539,181.95
Площадка 21 414,2025-05-19 12:00:00,53.938,36.713,0.344,330.276,0.48,22.965,746.9564276323,49.735,0.487,252.05
Площадка 21 414,2025-05-19 12:20:00,55.753,34.717,0.362,339.496,0.526,23.505,746.7689122116,48.36,0.53,206.9
Площадка 21 414,2025-05-19 12:40:00,57.508,38.778,0.398,327.396,0.401,23.725,746.6714041928,44.13,0.865,221.35
Площадка 21 414,2025-05-19 13:00:00,57.351,36.249,0.377,318.172,0.575,23.555,746.5363930899,45.94,0.734,172.85
Площадка 21 414,2025-05-19 13:20:00,57.88,35.765,0.34,333.67,0.437,23.44,746.311374585,44.44,0.607,214.55
Площадка 21 414,2025-05-19 13:40:00,56.37,33.836,0.388,332.33,0.453,22.355,746.0863560801,54.5,0.876,150.4
Площадка 21 414,2025-05-19 14:00:00,54.315,28.024,0.565,332.764,0.542,20.555,745.9963486781,60.16,0.92,132.65
Площадка 21 414,2025-05-19 14:20:00,55.002,25.33,0.299,343.976,0.508,20.255,745.9063412761,59.64,0.433,149.9
Площадка 21 414,2025-05-19 14:40:00,55.822,22.829,0.353,354.153,0.528,20.73,745.8763388088,59.37,0.433,156.15
Площадка 21 414,2025-05-19 15:00:00,51.374,26.513,0.381,351.16,0.494,20.375,745.6738221544,61.81,0.838,120.95
Площадка 21 414,2025-05-19 15:20:00,49.724,25.728,0.338,338.057,0.572,20.025,745.5088085841,63.765,0.445,111.55
Площадка 21 414,2025-05-19 15:40:00,49.763,30.447,0.29,334.819,0.496,19.355,745.5988159861,64.485,1.551,188.55
Площадка 21 414,2025-05-19 16:00:00,55.326,32.727,0.29,350.145,0.573,18.505,745.7263264722,65.875,0.826,216.6
Площадка 21 414,2025-05-19 16:20:00,55.108,32.21,0.402,373.114,0.5,16.935,745.9813474444,75.855,1.926,270.4
Площадка 21 414,2025-05-19 16:40:00,55.051,32.903,0.361,346.014,0.505,15.65,745.8763388088,83.33,1.379,290.15
Площадка 21 414,2025-05-19 17:00:00,52.265,33.334,0.377,342.624,0.37,14.975,745.6888233881,86.325,0.518,288.6
Площадка 21 414,2025-05-19 17:20:00,47.7,30.911,0.334,334.136,0.44,14.805,745.6663215376,86.855,0.15,230.85
Площадка 21 414,2025-05-19 17:40:00,40.504,26.039,0.273,331.559,0.484,14.525,745.6663215376,88.335,0.15,164.55
Площадка 21 414,2025-05-19 18:00:00,43.924,27.903,0.402,341.426,0.481,14.32,745.6588209207,89.13,0.15,112.95
Площадка 21 414,2025-05-19 18:20:00,40.084,26.054,0.501,349.801,0.614,14.32,745.4863067337,89.095,0.15,104.2
Площадка 21 414,2025-05-19 18:40:00,43.008,26.95,0.444,344.082,0.427,14.31,745.2762894624,89.225,0.15,104.15
Площадка 21 414,2025-05-19 19:00:00,42.607,27.881,0.498,329.876,0.459,14.39,745.0512709575,89.2,0.15,104.2
Площадка 21 414,2025-05-19 19:20:00,40.042,24.871,0.394,324.535,0.435,14.255,744.8337530694,89.395,0.15,103.95
Площадка 21 414,2025-05-19 19:40:00,44.742,9.364,0.964,372.079,0.5,14.2,744.7137432002,89.455,0.15,103.45
Площадка 21 414,2025-05-19 20:00:00,39.926,4.712,3.239,391.604,0.463,14.2,744.5487296299,89.925,0.15,103.2
Площадка 21 414,2025-05-19 20:20:00,47.943,0.501,5.7,365.919,0.526,14.205,744.2862080409,90.195,0.15,103.2
Площадка 21 414,2025-05-19 20:40:00,36.093,5.523,4.348,349.858,0.49,14.11,744.0236864518,90.33,0.15,103.2
Площадка 21 414,2025-05-19 21:00:00,39.45,8.807,1.369,348.196,0.489,14.0,743.7686654796,90.895,0.15,103.0
Площадка 21 414,2025-05-19 21:20:00,44.869,0.883,2.552,355.21,0.515,14.0,743.528645741,90.965,0.15,103.0
Площадка 21 414,2025-05-19 21:40:00,37.72,1.186,3.27,349.465,0.497,13.9,743.3336297034,90.955,0.15,103.0
Площадка 21 414,2025-05-19 22:00:00,29.037,10.818,1.193,329.52,0.527,13.83,743.221120451,91.185,0.15,103.0
Площадка 21 414,2025-05-19 22:20:00,28.947,4.101,3.618,325.623,0.468,13.71,743.0936099649,91.57,0.15,103.3
Площадка 21 414,2025-05-19 22:40:00,24.948,1.224,6.496,323.505,0.527,13.68,742.9660994788,91.865,0.15,104.0
Площадка 21 414,2025-05-19 23:00:00,26.315,11.714,2.452,321.789,1.733,13.535,742.823587759,92.095,0.15,111.75
Площадка 21 414,2025-05-19 23:20:00,26.667,14.636,1.097,310.299,0.402,13.5,742.6810760392,92.36,0.15,131.45
Площадка 21 414,2025-05-19 23:40:00,26.287,15.427,0.278,306.619,0.459,13.425,742.516062469,92.6,0.15,119.8
Площадка 21 414,2025-05-20 00:00:00,25.67,14.456,0.391,325.332,0.437,13.46,742.3360476651,93.13,0.15,115.3
Площадка 21 414,2025-05-20 00:20:00,25.804,12.623,1.233,323.933,0.509,13.535,742.1560328611,93.315,0.15,149.75
Площадка 21 414,2025-05-20 00:40:00,27.713,15.732,0.338,311.301,0.482,13.555,741.9160131226,93.44,0.15,226.35
Площадка 21 414,2025-05-20 01:00:00,27.548,15.164,0.303,311.035,0.481,13.575,741.675993384,93.55,0.15,269.0
Площадка 21 414,2025-05-20 01:20:00,25.19,13.389,0.202,313.449,0.594,13.5,741.5184804306,93.67,0.15,282.5
Площадка 21 414,2025-05-20 01:40:00,23.553,11.996,0.185,315.115,0.365,13.4,741.3309650098,93.96,0.152,291.7
Площадка 21 414,2025-05-20 02:00:00,26.967,14.397,0.17,321.75,0.5,13.31,741.1359489723,94.24,0.213,284.65
Площадка 21 414,2025-05-20 02:20:00,33.644,17.108,0.297,327.318,0.51,13.3,741.0084384861,94.33,0.353,287.5
Площадка 21 414,2025-05-20 02:40:00,30.906,14.427,0.286,326.201,0.385,13.295,740.8434249159,94.69,0.601,281.35
Площадка 21 414,2025-05-20 03:00:00,33.259,14.435,0.377,329.448,0.5,13.3,740.7084138129,94.7,0.922,281.75
Площадка 21 414,2025-05-20 03:20:00,36.602,19.213,0.305,337.014,0.495,13.365,740.6484088783,94.065,0.496,281.4
Площадка 21 414,2025-05-20 03:40:00,37.679,16.534,0.262,345.183,0.584,13.35,740.6109057942,93.795,0.375,284.5
Площадка 21 414,2025-05-20 04:00:00,32.462,14.096,0.266,347.554,0.463,13.41,740.5434002427,94.115,0.507,281.45
Площадка 21 414,2025-05-20 04:20:00,26.419,10.837,0.238,353.191,0.347,13.485,740.4083891397,94.545,0.305,288.35
Площадка 21 414,2025-05-20 04:40:00,28.433,4.496,0.187,376.001,0.507,13.315,740.2733780368,94.555,0.631,268.7
Площадка 21 414,2025-05-20 05:00:00,27.051,8.708,0.351,362.441,0.56,13.15,740.1383669339,94.695,1.04,274.95
Площадка 21 414,2025-05-20 05:20:00,30.795,5.802,0.197,366.61,0.479,13.15,739.9883545973,94.66,1.23,285.05
Площадка 21 414,2025-05-20 05:40:00,29.46,10.297,0.217,338.907,0.62,13.136,739.9958552141,94.273,2.043,279.909
Площадка 21 414,2025-05-20 06:00:00,29.078,12.638,0.534,337.369,0.384,13.2,740.0108564478,94.385,2.026,282.45
Площадка 21 414,2025-05-20 06:20:00,34.113,16.165,0.282,341.055,0.439,13.295,740.0108564478,94.415,1.769,282.55
Площадка 21 414,2025-05-20 06:40:00,34.914,21.224,0.319,339.407,0.528,13.3,740.0783619992,94.15,1.882,286.0
Площадка 21 414,2025-05-20 07:00:00,34.129,19.821,0.292,329.818,0.456,13.165,740.0858626161,94.295,1.746,287.4
Площадка 21 414,2025-05-20 07:20:00,30.874,17.553,0.314,332.338,0.517,13.135,740.0933632329,94.32,1.556,287.85
Площадка 21 414,2025-05-20 07:40:00,27.909,16.458,0.289,351.291,0.534,13.35,740.1683694012,93.71,2.157,288.95
Площадка 21 414,2025-05-20 08:00:00,23.634,9.953,0.292,334.802,0.552,13.55,740.2733780368,93.39,1.286,291.65
Площадка 21 414,2025-05-20 08:20:00,22.221,10.473,0.292,337.506,0.554,13.62,740.3708860556,92.805,1.243,284.4
Площадка 21 414,2025-05-20 08:40:00,22.745,11.218,0.234,341.045,0.518,13.475,740.528399009,92.545,1.58,282.8
Площадка 21 414,2025-05-20 09:00:00,17.678,7.674,0.19,355.411,0.411,13.265,740.7384162803,92.625,1.312,284.1
Площадка 21 414,2025-05-20 09:20:00,15.45,6.621,0.273,337.658,0.56,13.215,740.9034298505,92.585,1.492,275.1
Площадка 21 414,2025-05-20 09:40:00,15.909,6.139,0.138,351.756,0.376,13.35,741.0309403366,92.985,1.385,278.45
Площадка 21 414,2025-05-20 10:00:00,19.201,6.27,0.348,346.246,5.241,13.345,741.1209477386,92.785,2.019,273.85
Площадка 21 414,2025-05-20 10:20:00,21.308,7.012,0.432,354.924,13.008,13.335,741.2634594584,92.675,1.662,271.85
Площадка 21 414,2025-05-20 10:40:00,21.609,10.394,0.122,400.282,3.191,13.34,741.413471795,92.875,1.38,276.95
Площадка 21 414,2025-05-20 11:00:00,20.38,9.074,0.217,355.715,0.4,13.365,741.5784853652,92.575,1.098,277.0
Площадка 21 414,2025-05-20 11:20:00,19.61,8.908,0.297,349.883,0.378,13.21,741.7810020196,93.235,1.501,274.0
Площадка 21 414,2025-05-20 11:40:00,19.294,8.973,0.231,354.819,0.54,13.1,741.9310143562,93.415,1.255,273.2
Площадка 21 414,2025-05-20 12:00:00,19.72,9.073,0.259,356.421,0.363,13.185,742.0360229919,92.975,1.213,275.8
Площадка 21 414,2025-05-20 12:20:00,19.168,8.887,0.251,349.665,0.422,13.14,742.1560328611,91.935,1.906,274.45
Площадка 21 414,2025-05-20 12:40:00,18.989,8.383,0.175,346.983,0.551,12.93,742.3210464314,92.345,1.579,277.8
Площадка 21 414,2025-05-20 13:00:00,17.987,8.756,0.224,347.114,0.539,12.935,742.4185544502,92.87,0.99,295.9
Площадка 21 414,2025-05-20 13:20:00,19.97,10.892,0.259,338.263,0.532,13.0,742.5460649363,92.465,1.464,296.4
Площадка 21 414,2025-05-20 13:40:00,20.792,11.203,0.281,347.066,0.621,13.05,742.6960772729,92.685,1.322,292.05
Площадка 21 414,2025-05-20 14:00:00,21.596,13.351,0.395,335.101,0.569,13.155,742.7110785066,91.505,1.677,289.8
Площадка 21 414,2025-05-20 14:20:00,23.862,13.603,0.376,339.562,0.49,13.23,742.8385889927,89.94,1.736,291.1
Площадка 21 414,2025-05-20 14:40:00,25.686,13.909,0.291,362.638,0.606,13.13,742.9811007124,90.055,0.983,286.85
Площадка 21 414,2025-05-20 15:00:00,26.395,15.447,0.409,346.65,0.545,12.99,742.9210957778,89.55,1.036,287.0
Площадка 21 414,2025-05-20 15:20:00,25.982,14.527,0.357,340.071,0.66,12.975,742.9660994788,90.07,0.646,290.8
Площадка 21 414,2025-05-20 15:40:00,25.982,13.475,0.351,354.275,0.454,12.845,743.1011105817,90.23,0.668,285.15
Площадка 21 414,2025-05-20 16:00:00,26.139,14.102,0.343,337.655,0.49,12.74,743.2361216847,89.92,0.439,287.95
Площадка 21 414,2025-05-20 16:20:00,26.239,13.47,0.346,344.642,0.645,12.625,743.311127853,89.8,0.364,286.3
Площадка 21 414,2025-05-20 16:40:00,24.959,12.191,0.346,351.671,0.418,12.565,743.4161364886,90.6,0.196,288.35
Площадка 21 414,2025-05-20 17:00:00,23.591,10.573,0.3,356.876,0.516,12.39,743.4761414232,91.65,0.172,286.3
Площадка 21 414,2025-05-20 17:20:00,21.217,8.331,0.261,376.804,0.556,12.275,743.5211451242,92.545,0.15,306.0
Площадка 21 414,2025-05-20 17:40:00,20.453,8.117,0.384,352.265,0.356,12.125,743.6786580776,92.96,0.153,298.95
Площадка 21 414,2025-05-20 18:00:00,18.67,4.52,0.243,351.233,0.39,11.965,743.8436716479,93.285,0.15,290.05
Площадка 21 414,2025-05-20 18:20:00,17.247,3.903,0.238,343.396,0.458,11.9,743.971182134,93.67,0.15,290.0
Площадка 21 414,2025-05-20 18:40:00,15.551,5.649,0.282,331.152,0.435,11.86,743.9786827508,93.84,0.15,291.6
Площадка 21 414,2025-05-20 19:00:00,14.254,5.179,0.328,324.491,0.488,11.73,743.926178433,93.965,0.15,66.15
Площадка 21 414,2025-05-20 19:20:00,13.079,2.481,0.273,321.816,0.446,11.55,743.881174732,94.225,0.15,67.0
Площадка 21 414,2025-05-20 19:40:00,15.153,0.659,0.437,328.399,0.396,11.48,743.8661734984,94.455,0.15,67.0
Площадка 21 414,2025-05-20 20:00:00,13.149,0.865,0.865,328.726,0.548,11.215,743.9111771994,94.41,0.15,67.0
Площадка 21 414,2025-05-20 20:20:00,11.086,0.989,0.164,334.971,0.478,10.965,743.9111771994,94.49,0.15,71.75
Площадка 21 414,2025-05-20 20:40:00,12.289,0.573,0.298,370.137,0.519,10.735,743.8361710311,94.605,0.15,108.5
Площадка 21 414,2025-05-20 21:00:00,14.232,0.538,2.443,377.248,0.597,10.325,743.8136691806,94.71,0.175,107.3
Площадка 21 414,2025-05-20 21:20:00,15.381,0.487,0.325,408.005,0.464,10.045,743.6936593113,94.935,0.156,117.75
Площадка 21 414,2025-05-20 21:40:00,15.824,0.431,0.33,495.868,0.374,9.92,743.7536642459,95.15,0.15,122.9
Площадка 21 414,2025-05-20 22:00:00,18.561,0.636,0.369,467.051,0.536,9.95,743.7011599281,95.295,0.152,118.55
Площадка 21 414,2025-05-20 22:20:00,20.16,0.502,0.295,509.295,0.557,9.755,743.6486556103,95.4,0.15,128.2
Площадка 21 414,2025-05-20 22:40:00,18.131,0.562,0.718,525.915,0.573,9.56,743.663656844,95.45,0.15,138.0
Площадка 21 414,2025-05-20 23:00:00,17.059,0.803,0.715,469.035,0.511,9.195,743.618653143,95.395,0.15,138.0
Площадка 21 414,2025-05-20 23:20:00,12.661,0.77,0.778,457.65,0.356,8.395,743.6336543766,95.065,0.15,138.0
Площадка 21 414,2025-05-20 23:40:00,9.208,0.989,2.733,464.12,0.44,8.0,743.618653143,95.0,0.15,138.05
